Counts
1
3
1
6
1
1
2
4
1
6
9
6
15
2
1
4
80
36
22
91
6
3
3
5
6
36
49
4
4
67
7
317
1
1
11
2
2
50
8
2
2
14
51
10
5
23
3
1
10
2
23
4
