Counts
1
1
1
3
3
2
1
1
2
4
8
4
6
8
60
1
12
12
67
40
26
5
12
29
67
3
1
18
3
226
1
6
71
23
7
11
29
8
9
12
4
3
49
5
48
16
13
16
40
16
1
7
2
