Counts
1
2
1
1
2
3
1
2
1
4
2
1
13
1
6
27
5
71
57
43
30
3
5
33
9
2
8
9
1
11
4
63
12
5
2
17
1
9
5
7
4
1
6
55
3
77
17
367
7
2
5
